Name,Degree,Location,City,Consult Fee,Years of Experience,Speciality,Availability,Doctor       
Dr. Sneha M,"MBBS, MD - Pediatrics",Banjara Hills,Hyderabad,â‚¹500,10,Pediatrician,11:00-03:06,Osteopathic
Dr. Aishwarya Sivuni,"MBBS, MD - Dermatology , Venereology & Leprosy",Manikonda,Hyderabad,â‚¹500,8,"Dermatologist, Cosmetologist, Trichologist, Aesthetic Dermatologist",11:00-03:07,Otolaryngologist
Dr. C Ramakrishna,"MBBS, MS - ENT",Chapel Road,Hyderabad,â‚¹650,37,ENT/ Otorhinolaryngologist,11:00-03:08,Otolaryngologist
Dr. G. Swetha Reddy,"MDS - Conservative Dentistry & Endodontics, BDS",Alwal,Hyderabad,â‚¹300,12,"Dentist, Endodontist, Restorative Dentist",11:00-03:09,Pediatrician
Dr. Janaki V,"MBBS, MD - Obstetrics & Gynaecology, DGO",Moosapet,Hyderabad,â‚¹500,33,"Obstetrician, Gynecologist, Infertility Specialist",11:00-03:10,Phlebologist
Dr. Deepesh Singh,"BDS, MDS - Paedodontics And Preventive Dentistry",Kondapur,Hyderabad,â‚¹500,20,"Pediatric Dentist, Dentist, Dental Surgeon",11:00-03:11,Pulmonologist
Dr. Namita Singh   (PhD),"MA - Psychology, M.Phil - Psychology, PhD - Psychology",Jubilee Hills,Hyderabad,â‚¹1700,32,TherapistPsychologist,11:00-03:12,Pulmonologist
Dr. Geethika Magunta,"BDS, MDS - Periodontics",Nanakramguda,Hyderabad,â‚¹500,5,Periodontist,11:00-03:13,Rheumatologists
Dr. N. Rajasekharam,"MBBS, MS - ENT",Ameerpet,Hyderabad,â‚¹700,24,"ENT/ Otorhinolaryngologist, Head and Neck Surgeon",11:00-03:14,Rheumatologists
Dr. Sahaja Reddy,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",Mansoorabad,Hyderabad,â‚¹350,12,"Orthodontist, Dentist",11:00-03:15,Tuberculosis
Dr. Lavanya,"MBBS, MS - Obstetrics & Gynaecology",Madinaguda,Hyderabad,â‚¹500,10,"Gynecologist, Obstetrician",11:00-03:16,Allergist
Dr. Tejaswi   (Physiotherapist),BPTh/BPT,Kondapur,Hyderabad,â‚¹600,t7,TherapistPhysiotherapist,11:00-03:17,Allergist
Dr. Gautami Nagabhirava,"MBBS, M.D. (Psychiatry)",Nizampet,Hyderabad,â‚¹650,t9,Psychiatrist,11:00-03:18,Cardiologist
Dr. Akula Lakshmi Prasanna,BDS,Kukatpally,Hyderabad,â‚¹300,t6,"Dentist, Dental Surgeon, Cosmetic/Aesthetic Dentist",11:00-03:19,Cardiologist
Dr. B Anand,"MBBS, MD - Dermatology , Venereology & Leprosy",Karkhana,Hyderabad,â‚¹600,17,"Dermatologist, Trichologist, Cosmetologist",11:00-03:20,Dermatologist
Dr. Kishore B Reddy,"MBBS, MS - Orthopaedics",Kukatpally,Hyderabad,â‚¹700,18,Orthopedic surgeon,11:00-03:21,Dermatologist
Dr. Sujeeth Kumar B,MBBS,Jubilee Hills,Hyderabad,â‚¹1000,19,General Physician,11:00-03:22,Dermatologist
Dr. Sumit Dubewar,"MBBS, DNB - Orthopedics/Orthopedic Surgery",East Marredpally,Hyderabad,â‚¹800,n9,Orthopedic surgeon,11:00-03:23,Dermatologist
Dr. Kumar Narayanan,"MBBS, MD - General Medicine, DM - Cardiology",Hitech City,Hyderabad,â‚¹500,23,Cardiologist,11:00-03:24,Dermatologist
Dr. K. Keerthikar Reddy,"MBBS, MS - Orthopaedics, Fellowship in Arthroscopy & Sports Injury",Banjara Hills,Hyderabad,â‚¹500,11,Joint Replacement Surgeon,11:00-03:25,Endocrinologist
Dr. Y L Ravi Jadhav,"MBBS, MS - ENT",Beeramguda,Hyderabad,â‚¹600,14,ENT/ Otorhinolaryngologist,11:00-03:26,Endocrinologist
Dr. Nandana Jasti,"MBBS, Diplomate of American Board of Internal Medicine (Internal Medicine)",Hitech City,Hyderabad,â‚¹770,23,Internal Medicine,11:00-03:27,Endocrinologist
Dr. Patel Sana Fathima,"MBBS, DGO",Mehdipatnam,Hyderabad,â‚¹450,13,Gynecologist,11:00-03:28,Endocrinologist
Dr. Lakshmi Kondapalli   (Physiotherapist),BPTh/BPT,KPHB,Hyderabad,â‚¹300,t4,TherapistPhysiotherapist,11:00-03:29,Gastroenterologist
Dr. Ashok Kumar Singh,"MBBS, DNB - Otorhinolaryngology",Gachibowli,Hyderabad,â‚¹800,17,ENT/ Otorhinolaryngologist,11:00-03:30,Gastroenterologist
Dr. Tarun Kumar Saha,"MBBS, DNB - General Medicine, DNB - Nephrology",Secunderabad,Hyderabad,â‚¹1000,36,Nephrologist/Renal Specialist,11:00-03:31,Gastroenterologist
Dr. Ambadas Kathare,"MBBS, DNB - Orthopedics/Orthopedic Surgery",Chapel Road,Hyderabad,â‚¹550,21,Orthopedic surgeon,11:00-03:32,Gastroenterologist 
Dr. Nithin Reddy,"MBBS, MD - General Medicine, DNB - Endocrinology, Diabetes, Metabolism",Jubilee Hills,Hyderabad,â‚¹500,10,"Internal Medicine, Endocrinologist",11:00-03:33,Gastroenterologist
Dr. Saroja G   (Physiotherapist),"BPTh/BPT, MPT - Orthopaedics & Traumatology",Kondapur,Hyderabad,â‚¹500,12,TherapistPhysiotherapist,11:00-03:34,Gynecologist
Dr. Chandra Sekhar B,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",Gachibowli,Hyderabad,â‚¹500,20,Urologist,11:00-03:35,Hepatologist
Dr. Manogna,BDS,Kondapur,Hyderabad,â‚¹300,10,Dentist,11:00-03:36,Hepatologist
Dr. Panduranga,"MBBS, MD - General Medicine, DM - Cardiology",Sun city,Hyderabad,â‚¹600,14,"Interventional Cardiologist, Cardiologist",11:00-03:37,hepatologist
Dr. Nithin Kondapuram,"Diploma in Psychiatry, MBBS",Ameerpet,Hyderabad,â‚¹1100,12,Psychiatrist,11:00-03:38,Hepatologist
Dr. Deepika Sirineni,"MBBS, MD - General Medicine, DM - Neurology",Hyderguda,Hyderabad,â‚¹600,10,Neurologist,11:00-03:39,Hepatologist
Dr. Hemnath U A,"MBBS, MS - General Surgery, MCh - Urology",Kondapur,Hyderabad,â‚¹500,13,Urologist,11:00-03:40,Hepatologist
Dr. Subramanyam Kolanukuduru,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery, FRCS - Urology",Jubilee Hills,Hyderabad,â‚¹1000,41,Urologist,11:00-03:41,Hepatologist
Dr. Ravikiran Abraham Barigala,"MBBS, Diplomate of American Board of Internal Medicine (Internal Medicine)",Jubilee Hills,Hyderabad,â‚¹1500,23,"Internal Medicine, General Physician",11:00-03:42,Internal Medcine
Dr. Powar Akshata Prakash,"MBBS, DNB - General Surgery",Nacharam,Hyderabad,â‚¹500,19,General Surgeon,11:00-03:43,Internal Medcine
Dr. A Aruna,MBBS,Banjara Hills,Hyderabad,â‚¹500,38,General Physician,11:00-03:44,Neurologist
Dr. Chinnababu Sunkavalli,"MBBS, MS - General Surgery, MCh - Surgical Oncology",Jubilee Hills,Hyderabad,â‚¹1000,24,Surgical Oncologist,11:00-03:45,Neurologist
Dr. Avinash Chaitanya,"MS - ENT, MBBS",RTC X Road,Hyderabad,â‚¹400,13,"ENT/ Otorhinolaryngologist, Head and Neck Surgeon",01:00-02:00,Neurologist
Dr. Bharat Veeramachaneni,"MBBS, MD - General Medicine",Gachibowli,Hyderabad,â‚¹300,18,Internal Medicine,01:00-02:01,Osteopathic
Dr. Lavanya. B,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",Madhapur,Hyderabad,â‚¹600,21,"Obstetrician, Gynecologist, Infertility Specialist",01:00-02:02,Otolaryngologist
Dr. L Sunandhini,MBBS,Ameerpet,Hyderabad,â‚¹600,26,General Physician,01:00-02:03,Otolaryngologist
Dr. Avani,"MBBS, Diploma in Child Health (DCH)",Mansoorabad,Hyderabad,â‚¹300,12,Pediatrician,01:00-02:04,Pediatrician
Dr. B Ganapathi Reddy,"MBBS, MD - Pulmonary Medicine",Chanda Nagar,Hyderabad,â‚¹600,14,Pulmonologist,01:00-02:05,Phlebologist
Dr. S Sreedhar Reddy,"BDS, MDS - Prosthodontist And Crown Bridge",West Marredpally,Hyderabad,â‚¹400,24,"Dentist, Dental Surgeon, Implantologist, Prosthodontist, Cosmetic/Aesthetic Dentist",01:00-02:06,Pulmonologist
Dr. Neeraja Valli G,"MBBS, MS - Obstetrics & Gynaecology",KPHB,Hyderabad,â‚¹500,18,"Gynecologist, Obstetrician, Infertility Specialist, Reproductive Endocrinologist (Infertility)",01:00-02:07,Pulmonologist
Dr. A Yeshwanth Kumar,"MBBS, DNB - Dermatology & Venereology",Kondapur,Hyderabad,â‚¹750,9,"Dermatologist, Cosmetologist",01:00-02:08,Rheumatologists
Dr. B. Lakshmi Divya,"MBBS, MD - Dermatology , Venereology & Leprosy",Kondapur,Hyderabad,â‚¹700,12,"Dermatologist, Trichologist",01:00-02:09,Rheumatologists
Dr. Athaluri Mounika,"BDS, MDS - Conservative Dentistry & Endodontics",Chanda Nagar,Hyderabad,â‚¹400,11,"Endodontist, Dentist",01:00-02:10,Tuberculosis
Dr. Sambhav Upadhyay,"MBBS, Masters in Clinical Dermatology",Jubilee Hills,Hyderabad,â‚¹1000,7,Hair Transplant Surgeon,01:00-02:11,Allergist
Dr. Vijaya Lakshmi Gosangi   (Physiotherapist),BPTh/BPT,KPHB,Hyderabad,â‚¹600,3,TherapistPhysiotherapist,01:00-02:12,Allergist
Dr. A. Kishore Kumar,"MBBS, Diploma in Otorhinolaryngology (DLO), FRCS - General Surgery",KPHB,Hyderabad,â‚¹600,25,ENT/ Otorhinolaryngologist,01:00-02:13,Cardiologist
Dr. Kalyan Kumar Varma Kalidindi,"MBBS, MS - Orthopaedics, FNB - Spine Surgery, DNB - Orthopedics/Orthopedic Surgery",KPHB,Hyderabad,â‚¹600,11,"Orthopedic surgeon, Spine Surgeon (Ortho), Spine And Pain Specialist",01:00-02:14,Cardiologist
Dr. K Samyuktha,"MBBS, MCh - Urology/Genito-Urinary Surgery",RTC X Road,Hyderabad,â‚¹600,11,Urologist,01:00-02:15,Dermatologist
Dr. Mallika Goyal,"MBBS, MD - Ophthalmology, DNB - Ophthalmology",Jubilee Hills,Hyderabad,â‚¹800,26,Ophthalmologist/ Eye Surgeon,01:00-02:16,Dermatologist
Dr. Padmaja Yelaboyina,"MBBS, MD - Dermatology , Venereology & Leprosy",Ecil,Hyderabad,â‚¹700,7,"Dermatologist, General Physician",01:00-02:17,Dermatologist
Dr. Sushant Kulkarni,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",Gachibowli,Hyderabad,â‚¹900,17,Urologist,01:00-02:18,Dermatologist
Dr. C. Chandra Sekhar,"MBBS, DNB - General Surgery, FNB- Peripheral Vascular Surgery",Jubilee Hills,Hyderabad,â‚¹1000,27,Vascular Surgeon,01:00-02:19,Dermatologist
Dr. Pallavi,"BDS, MDS - Periodontics",Punjagutta,Hyderabad,â‚¹500,24,Periodontist,01:00-02:20,Endocrinologist
Dr. N V R Murthy,"MBBS, MS - Ophthalmology",KPHB,Hyderabad,â‚¹400,24,Ophthalmologist/ Eye Surgeon,01:00-02:21,Endocrinologist
Dr. Ramya P,"MD - General Medicine, DM - Cardiology, MBBS",Jubilee Hills,Hyderabad,â‚¹1500,11,Cardiologist,01:00-02:22,Endocrinologist
Dr. B V A Ranga Reddy,"MBBS, MD - General Medicine, DM - Cardiology",Jubilee Hills,Hyderabad,â‚¹1000,12,"Interventional Cardiologist, Cardiologist",01:00-02:23,Endocrinologist
Dr. Siddharth Venkata Potluri,"MBBS, MS - Orthopaedics",Manikonda,Hyderabad,â‚¹550,11,Orthopedic surgeon,01:00-02:24,Gastroenterologist
Dr. Badar Shaik,"MBBS, Diploma in Child Health (DCH)",Bandlaguda,Hyderabad,â‚¹400,19,Pediatrician,01:00-02:25,Gastroenterologist
Dr. Ajay Krishna,"BDS, MDS - Prosthodontics",Gachibowli,Hyderabad,â‚¹500,21,"Dentist, Prosthodontist, Implantologist",01:00-02:26,Gastroenterologist
Dr. Nagarjuna Ys,BDS,Somajiguda,Hyderabad,,11,Dentist,01:00-02:27,Gastroenterologist 
Dr. Manav Chintawar,"MBBS, MS - Obstetrics & Gynaecology",Ramanthapur,Hyderabad,â‚¹350,t7,"Laparoscopic Surgeon (Obs & Gyn), Gynecologist",01:00-02:28,Gastroenterologist
Dr. Amulya Gumpalli,"MBBS, DGO, DNB - Obstetrics & Gynecology",Banjara Hills,Hyderabad,â‚¹700,11,"Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)",01:00-02:29,Gynecologist
Dr. Sushmitha Birudavolu,"MBBS, MS - Obstetrics & Gynaecology",Gachibowli,Hyderabad,â‚¹1000,t9,Gynecologist,01:00-02:30,Hepatologist
Dr. Navya K C Suvvari,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",Kondapur,Hyderabad,â‚¹700,n9,"Gynecologist, Obstetrician",01:00-02:31,Hepatologist
Dr. Shirish Kumar,"BDS, MDS - Conservative Dentistry & Endodontics",Champapet,Hyderabad,â‚¹500,t9,Dentist,01:00-02:32,hepatologist
Dr. A.Maalavika,"MBBS, MS - Obstetrics & Gynaecology",Jubilee Hills,Hyderabad,â‚¹1000,12,"Gynecologist, Laparoscopic Surgeon (Obs & Gyn)",01:00-02:33,Hepatologist
Dr. Deepthi K,"MBBS, Fellowship In Clinical Cosmetology",Kondapur,Hyderabad,â‚¹700,15,TherapistCosmetologist,01:00-02:34,Hepatologist
Dr. Swati Maheshwari,DHMS (Diploma in Homeopathic Medicine and Surgery),Kukatpally,Hyderabad,â‚¹450,29,AYUSHHomoeopath,01:00-02:35,Hepatologist
Dr. Daljeet Kaur Saggu,"MBBS, MD - General Medicine, DM - Cardiology",Gachibowli,Hyderabad,â‚¹500,23,Cardiologist,01:00-02:36,Hepatologist
Dr. B. Ashwini,"MBBS, MD - Dermatology , Venereology & Leprosy",KPHB,Hyderabad,â‚¹600,t9,"Dermatologist, Trichologist, Aesthetic Dermatologist, Hair Transplant Surgeon, Cosmetologist",01:00-02:37,Internal Medcine
Dr. Harini Reddy Mitta,"BDS, MDS - Periodontics",Manikonda,Hyderabad,â‚¹300,t7,Periodontist,01:00-02:38,Internal Medcine
Dr. Naveen Reddy A,"MBBS, DNB - General Medicine",Ameerpet,Hyderabad,â‚¹500,19,"General Physician, Special Interest in Diabetology",01:00-02:39,Neurologist
Dr. Sandeep Prasad,"MBBS, MS - Orthopaedics, FRCS - Trauma & Orthopedic Surgery",Kondapur,Hyderabad,â‚¹700,28,"Orthopedic surgeon, Joint Replacement Surgeon",01:00-02:40,Neurologist
Dr. Mohammed Mujtaba Ali,"MBBS, MS - General Surgery, DNB - General Surgery, MCh - Surgical Oncology",Mehdipatnam,Hyderabad,â‚¹650,13,"Surgical Oncologist, General Surgeon",01:00-02:41,Neurologist
Dr. Lavanya Gunti,"MBBS, DO",Dilsukhnagar,Hyderabad,â‚¹500,20,Ophthalmologist/ Eye Surgeon,01:00-02:42,Osteopathic
Dr. Anitha Ethamukkala,"BDS, MDS - Orthodontics",Banjara Hills,Hyderabad,â‚¹500,26,"Orthodontist, Dentist, Cosmetic/Aesthetic Dentist",03:00-05:00,Otolaryngologist
Dr. Prathyusha,"MBBS, MD - Dermatology , Venereology & Leprosy",KPHB,Hyderabad,â‚¹600,13,"Dermatologist, Trichologist, Aesthetic Dermatologist, Hair Transplant Surgeon, Cosmetologist",03:00-05:01,Otolaryngologist
Dr. J Sridhar,"MBBS, MS - Orthopaedics",Champapet,Hyderabad,â‚¹500,16,Spine Surgeon (Ortho),03:00-05:02,Pediatrician
Dr. Ranbeer Singh,"MBBS, Diploma in Otorhinolaryngology (DLO)",Himayat Nagar,Hyderabad,â‚¹900,38,"ENT/ Otorhinolaryngologist, Pediatric Otorhinolaryngologist, Otologist/ Neurotologist",03:00-05:03,Phlebologist
Dr. Srinivas Jakkinaboina,"MBBS, DM - Critical Care Medicine, MD - Anaesthesiology",Narsingi,Hyderabad,â‚¹500,25,"General Physician, Pain Management Specialist, Critical Care Medicine",03:00-05:04,Pulmonologist
Dr. Anup Kumar Lahari,"MBBS, MD - Dermatology",Secunderabad,Hyderabad,â‚¹600,39,Dermatologist,03:00-05:05,Pulmonologist
Dr. Altamash Zubair,"MBBS, MD - Dermatology , Venereology & Leprosy",Banjara Hills,Hyderabad,â‚¹800,n9,Hair Transplant Surgeon,03:00-05:06,Rheumatologists
Dr. S.M. Shuja Kamran   (Physiotherapist),BPTh/BPT,Gachibowli,Hyderabad,â‚¹600,t2,TherapistPhysiotherapist,03:00-05:07,Rheumatologists
Dr. Anand K Reddy,"MBBS, MS - General Surgery",Jubilee Hills,Hyderabad,â‚¹1000,31,Laparoscopic Surgeon,03:00-05:08,Tuberculosis
Dr. Raju C H,"MBBS, MD - Pulmonary Medicine",Chandra Nagar,Hyderabad,â‚¹700,15,Pulmonologist,03:00-05:09,Allergist
Ms. Sharmila Banik,MASLP,Gachibowli,Hyderabad,â‚¹700,16,"TherapistAudiologist, Speech Therapist",03:00-05:10,Allergist
Dr. Vinod Vadthya,"MBBS, DNB - General Medicine, DNB - Cardiology",Jubilee Hills,Hyderabad,â‚¹700,11,"Cardiologist, Interventional Cardiologist, Internal Medicine",03:00-05:11,Cardiologist
Dr. G. Jwalitha Reddy,"MBBS, MD - Dermatology , Venereology & Leprosy",Jubilee Hills,Hyderabad,â‚¹600,13,"Dermatologist, Aesthetic Dermatologist, Trichologist, Hair Transplant Surgeon, Cosmetologist",03:00-05:12,Cardiologist
Dr. Krantikar PhD (PhD)   (PhD),"MSc - Psychology, Degree in Naturopathy and Yogic Science",Kukatpally,Hyderabad,â‚¹1500,10,TherapistCounselling Psychologist,03:00-05:13,Dermatologist
Dr. P Hari Prasad,"MBBS, DM - Nephrology",Nacharam,Hyderabad,â‚¹500,15,Nephrologist/Renal Specialist,03:00-05:14,Dermatologist
Dr. Keerthana V,"MBBS, DNB - Obstetrics & Gynecology",Shaikpet,Hyderabad,â‚¹700,11,Infertility Specialist,03:00-05:15,Dermatologist
Dr. AM Reddy,BHMS,Mehdipatnam,Hyderabad,â‚¹1500,25,AYUSHHomoeopath,03:00-05:16,Dermatologist
Dr. Sasikala Vennalaganti,"MBBS, DGO",Ecil,Hyderabad,â‚¹350,10,"Gynecologist, Obstetrician, Infertility Specialist",03:00-05:17,Dermatologist
Dr. M Sai Jyothi,BDS,Banjara Hills,Hyderabad,â‚¹500,29,"Dentist, Cosmetic/Aesthetic Dentist",03:00-05:18,Endocrinologist
Dr. V. Srinivas Reddy,"BDS, MDS - Oral & Maxillofacial Surgery, FDSRCS - Fellowship in Dental Surgery",KPHB,Hyderabad,â‚¹500,25,"Oral And MaxilloFacial Surgeon, Implantologist",03:00-05:19,Endocrinologist
Dr. Manasa Chintawar,"DDVL, MBBS",Secunderabad,Hyderabad,â‚¹500,t8,Dermatologist,03:00-05:20,Endocrinologist
Dr. Meeraji Rao D,"MBBS, DNB - General Medicine, DM - Cardiology, Fellowship in Non-Invasive Cardiology (FIC), Fellowship In Interventional  Cardiology",Gachibowli,Hyderabad,â‚¹900,32,"Cardiologist, Interventional Cardiologist",03:00-05:21,Endocrinologist
Dr. Patlolla Karthik Reddy,"MBBS, MS - Orthopaedics",Narsingi,Hyderabad,â‚¹400,11,Orthopedic surgeon,03:00-05:22,Gastroenterologist
Dr. Nishant Sinha,"MBBS, DNB - Respiratory Diseases",Gachibowli,Hyderabad,â‚¹900,13,Pulmonologist,03:00-05:23,Gastroenterologist
Dr. Narender Tatikonda,"MBBS, MD - Pediatrics",Ameerpet,Hyderabad,â‚¹600,26,Pediatrician,03:00-05:24,Gastroenterologist
Dr. Sunil Pati,BDS,Begumpet,Hyderabad,â‚¹300,10,"Dentist, Dental Surgeon",03:00-05:25,Gastroenterologist 
Dr. Kranthi Kumar Reddy R,"BDS, MDS - Pedodontics",Kondapur,Hyderabad,â‚¹500,16,Pediatric Dentist,03:00-05:26,Gastroenterologist
Dr. Archana Satyam,MBBS,DD Colony,Hyderabad,â‚¹3000,11,General Physician,03:00-05:27,Gynecologist
Dr. Santhoshini Boggarapu,"MBBS, MS - Obstetrics & Gynaecology",LB Nagar,Hyderabad,â‚¹630,18,Gynecologist,03:00-05:28,Hepatologist
Dr. Radhika Reddy,BHMS,Madhapur,Hyderabad,â‚¹500,14,AYUSHHomoeopath,03:00-05:29,Hepatologist
Dr. Ranjith Kumar,BDS,Himayat Nagar,Hyderabad,â‚¹500,17,Dentist,03:00-05:30,hepatologist
Dr. Vijay Bandikatla,"MBBS, Diploma in Anesthesiology",Jubilee Hills,Hyderabad,â‚¹1000,26,"Pain Management Specialist, Spine And Pain Specialist, Anesthesiologist",03:00-05:31,Hepatologist
Dr. G  Ramesh Babu,"MBBS, MS - General Surgery",Hyderguda,Hyderabad,â‚¹500,31,General Surgeon,03:00-05:32,Hepatologist
Dr. Bhargavi Arun,"MBBS, MD - Pediatrics",Kukatpally,Hyderabad,â‚¹500,16,Pediatrician,03:00-05:33,Hepatologist
Dr. Haritha M,"MBBS, MD - Dermatology , Venereology & Leprosy",Banjara Hills,Hyderabad,â‚¹1000,12,Dermatologist,03:00-05:34,Hepatologist
Dr. P. Haritha,"MBBS, MD - Dermatology , Venereology & Leprosy",Alwal,Hyderabad,â‚¹500,17,"Dermatologist, Cosmetologist, Trichologist",03:00-05:35,Internal Medcine
Dr. Nandakishore Dukkipati,"MBBS, Diplomate of the American Board of Surgery (General Surgery)",Jubilee Hills,Hyderabad,â‚¹850,29,"General Surgeon, Bariatric Surgeon, Laparoscopic Surgeon",03:00-05:36,Internal Medcine
Dr. Leenatha Reddy J,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",Jubilee Hills,Hyderabad,â‚¹1000,27,Pediatrician,03:00-05:37,Neurologist
Dr. Sharat Kumar P,"MS - Orthopaedics, MBBS",Jubilee Hills,Hyderabad,â‚¹800,36,Orthopedic surgeon,03:00-05:38,Neurologist
Dr. Sivananda Reddy,"MBBS, DM - Gastroenterology",LB Nagar,Hyderabad,â‚¹680,15,Gastroenterologist,03:00-05:39,Neurologist
Dr. Karthik Pingle,"MBBS, MS - Orthopaedics, M.Ch - Orthopaedics",Jubilee Hills,Hyderabad,â‚¹1000,25,Orthopedic surgeon,03:00-05:40,Osteopathic
Dr. Srinivas T,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Banjara Hills,Hyderabad,â‚¹600,15,Neurosurgeon,03:00-05:41,Otolaryngologist
Dr. Deepthi,"MBBS, MS - Obstetrics & Gynaecology",Nallagandla,Hyderabad,â‚¹500,10,"Gynecologist, Obstetrician",03:00-05:42,Otolaryngologist
Dr. B Vijayasree,"MBBS, MD - Dermatology , Venereology & Leprosy",Hitech City,Hyderabad,â‚¹500,16,Dermatologist,03:00-05:43,Pediatrician
Dr. Srushti Bhavani,BDS,Financial District,Hyderabad,â‚¹500,t4,Dentist,03:00-05:44,Phlebologist
Dr. K Prashanth Kumar,"MD - Respiratory Medicine, MBBS",Old Bowenpally,Hyderabad,â‚¹500,12,Pulmonologist,03:00-05:45,Pulmonologist
Dr. M Srinivasa Rao,MBBS,Hyderguda,Hyderabad,â‚¹500,41,General Physician,03:00-05:46,Pulmonologist
Dr. Shrija Ravulapally,"BDS, MDS - Paedodontics And Preventive Dentistry",Gachibowli,Hyderabad,â‚¹300,13,"Dentist, Preventive Dentistry, Pediatric Dentist",03:00-05:47,Rheumatologists
Dr. Meka Satyanarayana,MBBS,Kukatpally,Hyderabad,â‚¹900,41,"General Physician, HIV Specialist",03:00-05:48,Rheumatologists
Dr. J.Jayaprakashsai,MD - Physician,Banjara Hills,Hyderabad,â‚¹1100,18,"General Practitioner, Sexologist, General Physician, Sexologist, Special Interest in Diabetology",03:00-05:49,Tuberculosis
Dr. E Priyatham,"MBBS, MD - General Medicine",Uppal,Hyderabad,â‚¹500,10,"General Physician, Internal Medicine",03:00-05:50,Allergist
Dr. Anusha Meka,BDS,Gachibowli,Hyderabad,â‚¹500,n4,Dental Surgeon,03:00-05:51,Allergist
Dr. Rahul Reddy C,"MBBS, MD - Pediatrics",Jubilee Hills,Hyderabad,â‚¹800,11,Pediatrician,03:00-05:52,Cardiologist
Dr. Sarath Kumar N   (Physiotherapist),"Masters of Physiotheraphy, BPTh/BPT",KPHB,Hyderabad,â‚¹300,t6,TherapistPhysiotherapist,03:00-05:53,Cardiologist
Dr. Gouraiah,"MBBS, Diploma in Anesthesiology",Boduppal,Hyderabad,â‚¹500,11,"General Physician, Pain Management Specialist, General Practitioner",04:00-06:00,Dermatologist
Dr. Hemanth Kumar,"MBBS, DNB - General Medicine",Jubilee Hills,Hyderabad,â‚¹500,y7,"General Physician, Special Interest in Diabetology",04:00-06:01,Dermatologist
Dr. Vijay Kumar Loya,"MS - Orthopaedics, MBBS, DNB - Orthopedics/Orthopedic Surgery, FNB - Spine Surgery",Attapur,Hyderabad,â‚¹500,11,"Orthopedic surgeon, Spine Surgeon (Ortho)",04:00-06:02,Dermatologist
Dr. B RAJEEV REDDY,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, Fellowship Programme in Orthopedic Oncology",Jubilee Hills,Hyderabad,â‚¹1000,14,"Orthopedic surgeon, Orthopedic Oncologist",04:00-06:03,Dermatologist
Dr. Rajeev Prasad,MD - Physician,Karmanghat,Hyderabad,â‚¹500,10,"General Physician, General Practitioner",04:00-06:04,Dermatologist
Dr. Kuladeep L,"MBBS, MS - General Surgery",Kondapur,Hyderabad,â‚¹500,11,General Surgeon,04:00-06:05,Endocrinologist
Dr. Vikas Jha,BDS,Gachibowli,Hyderabad,â‚¹500,t6,"Dentist, Cosmetic/Aesthetic Dentist",04:00-06:06,Endocrinologist
Dr. Matheen Asrar   (PhD),PhD - Nutrition,East Marredpally,Hyderabad,â‚¹700,12,TherapistDietitian/Nutritionist,04:00-06:07,Endocrinologist
Dr. EC Vinaya Kumar,"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",Jubilee Hills,Hyderabad,â‚¹800,35,ENT/ Otorhinolaryngologist,04:00-06:08,Endocrinologist
Dr. Sameer Vankar,"MBBS, DM - Cardiology",Secunderabad,Hyderabad,â‚¹750,16,"General Physician, Interventional Cardiologist",04:00-06:09,Gastroenterologist
Dr. Ambati Karuna Sagar,"MBBS, DNB - Pediatric Surgery",Ecil,Hyderabad,â‚¹500,12,Pediatric Surgeon,04:00-06:10,Gastroenterologist
Dr. Padmaja Lokireddy,"MBBS, MD - General Medicine, MRCP (UK), FRCP - Pathology",Jubilee Hills,Hyderabad,â‚¹1000,25,Hematologist,04:00-06:11,Gastroenterologist
Dr. A Mohan Krishna,"MBBS, MS - Orthopaedics",Jubilee Hills,Hyderabad,â‚¹1000,21,"Orthopedic surgeon, Joint Replacement Surgeon",04:00-06:12,Gastroenterologist 
Dr. Ramesh Kumar Bhuta,"MBBS, MS - General Surgery",Kanchanbagh,Hyderabad,â‚¹500,28,General Surgeon,04:00-06:13,Gastroenterologist
Dr. B L Hitesh,"MBBS, DNB - Respiratory Medicine",Manikonda,Hyderabad,â‚¹500,t3,Pulmonologist,04:00-06:14,Gynecologist
Dr. Himabindu,"MBBS, DDVL",Manikonda,Hyderabad,â‚¹500,17,Dermatologist,04:00-06:15,Hepatologist
Dr. T. Zeeshan Muzahid,"MBBS, MS - Orthopaedics",Attapur,Hyderabad,â‚¹600,12,Joint Replacement Surgeon,04:00-06:16,Hepatologist
